********** SUMMARY ***********
Total Mean Accuracy for 1000 runs: 0.9364308510638302
Highest Number of wrong predictions: 21
 Lowest Number of wrong predictions: 4
******** END SUMMARY *********

**** INDIVIDUAL RUN DATA *****
Run 1          Accuracy: 0.9627659574468085	              7 wrong predictions
Run 2          Accuracy: 0.9361702127659575	             12 wrong predictions
Run 3          Accuracy: 0.9521276595744681	              9 wrong predictions
Run 4          Accuracy: 0.9414893617021277	             11 wrong predictions
Run 5          Accuracy: 0.9361702127659575	             12 wrong predictions
Run 6          Accuracy: 0.9308510638297872	             13 wrong predictions
Run 7          Accuracy: 0.9361702127659575	             12 wrong predictions
Run 8          Accuracy: 0.9308510638297872	             13 wrong predictions
Run 9          Accuracy: 0.9308510638297872	             13 wrong predictions
Run 10         Accuracy: 0.9148936170212766	             16 wrong predictions
Run 11         Accuracy: 0.925531914893617	             14 wrong predictions
Run 12         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 13         Accuracy: 0.9521276595744681	              9 wrong predictions
Run 14         Accuracy: 0.925531914893617	             14 wrong predictions
Run 15         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 16         Accuracy: 0.9148936170212766	             16 wrong predictions
Run 17         Accuracy: 0.9680851063829787	              6 wrong predictions
Run 18         Accuracy: 0.9574468085106383	              8 wrong predictions
Run 19         Accuracy: 0.9680851063829787	              6 wrong predictions
Run 20         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 21         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 22         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 23         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 24         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 25         Accuracy: 0.9042553191489362	             18 wrong predictions
Run 26         Accuracy: 0.9521276595744681	              9 wrong predictions
Run 27         Accuracy: 0.9095744680851063	             17 wrong predictions
Run 28         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 29         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 30         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 31         Accuracy: 0.9627659574468085	              7 wrong predictions
Run 32         Accuracy: 0.9574468085106383	              8 wrong predictions
Run 33         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 34         Accuracy: 0.9521276595744681	              9 wrong predictions
Run 35         Accuracy: 0.9574468085106383	              8 wrong predictions
Run 36         Accuracy: 0.9414893617021277	             11 wrong predictions
Run 37         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 38         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 39         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 40         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 41         Accuracy: 0.9414893617021277	             11 wrong predictions
Run 42         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 43         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 44         Accuracy: 0.9414893617021277	             11 wrong predictions
Run 45         Accuracy: 0.9627659574468085	              7 wrong predictions
Run 46         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 47         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 48         Accuracy: 0.9627659574468085	              7 wrong predictions
Run 49         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 50         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 51         Accuracy: 0.9095744680851063	             17 wrong predictions
Run 52         Accuracy: 0.9414893617021277	             11 wrong predictions
Run 53         Accuracy: 0.9627659574468085	              7 wrong predictions
Run 54         Accuracy: 0.9414893617021277	             11 wrong predictions
Run 55         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 56         Accuracy: 0.9521276595744681	              9 wrong predictions
Run 57         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 58         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 59         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 60         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 61         Accuracy: 0.9574468085106383	              8 wrong predictions
Run 62         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 63         Accuracy: 0.9521276595744681	              9 wrong predictions
Run 64         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 65         Accuracy: 0.9414893617021277	             11 wrong predictions
Run 66         Accuracy: 0.9414893617021277	             11 wrong predictions
Run 67         Accuracy: 0.9095744680851063	             17 wrong predictions
Run 68         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 69         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 70         Accuracy: 0.9095744680851063	             17 wrong predictions
Run 71         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 72         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 73         Accuracy: 0.925531914893617	             14 wrong predictions
Run 74         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 75         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 76         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 77         Accuracy: 0.9574468085106383	              8 wrong predictions
Run 78         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 79         Accuracy: 0.9148936170212766	             16 wrong predictions
Run 80         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 81         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 82         Accuracy: 0.9148936170212766	             16 wrong predictions
Run 83         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 84         Accuracy: 0.9202127659574468	             15 wrong predictions
Run 85         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 86         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 87         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 88         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 89         Accuracy: 0.8936170212765957	             20 wrong predictions
Run 90         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 91         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 92         Accuracy: 0.9521276595744681	              9 wrong predictions
Run 93         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 94         Accuracy: 0.9095744680851063	             17 wrong predictions
Run 95         Accuracy: 0.9308510638297872	             13 wrong predictions
Run 96         Accuracy: 0.9468085106382979	             10 wrong predictions
Run 97         Accuracy: 0.9361702127659575	             12 wrong predictions
Run 98         Accuracy: 0.9521276595744681	              9 wrong predictions
Run 99         Accuracy: 0.9680851063829787	              6 wrong predictions
Run 100        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 101        Accuracy: 0.925531914893617	             14 wrong predictions
Run 102        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 103        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 104        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 105        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 106        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 107        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 108        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 109        Accuracy: 0.9680851063829787	              6 wrong predictions
Run 110        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 111        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 112        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 113        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 114        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 115        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 116        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 117        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 118        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 119        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 120        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 121        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 122        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 123        Accuracy: 0.9042553191489362	             18 wrong predictions
Run 124        Accuracy: 0.9148936170212766	             16 wrong predictions
Run 125        Accuracy: 0.9148936170212766	             16 wrong predictions
Run 126        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 127        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 128        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 129        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 130        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 131        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 132        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 133        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 134        Accuracy: 0.898936170212766	             19 wrong predictions
Run 135        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 136        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 137        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 138        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 139        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 140        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 141        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 142        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 143        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 144        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 145        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 146        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 147        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 148        Accuracy: 0.9042553191489362	             18 wrong predictions
Run 149        Accuracy: 0.9042553191489362	             18 wrong predictions
Run 150        Accuracy: 0.925531914893617	             14 wrong predictions
Run 151        Accuracy: 0.925531914893617	             14 wrong predictions
Run 152        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 153        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 154        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 155        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 156        Accuracy: 0.925531914893617	             14 wrong predictions
Run 157        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 158        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 159        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 160        Accuracy: 0.9148936170212766	             16 wrong predictions
Run 161        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 162        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 163        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 164        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 165        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 166        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 167        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 168        Accuracy: 0.973404255319149	              5 wrong predictions
Run 169        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 170        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 171        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 172        Accuracy: 0.925531914893617	             14 wrong predictions
Run 173        Accuracy: 0.925531914893617	             14 wrong predictions
Run 174        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 175        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 176        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 177        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 178        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 179        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 180        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 181        Accuracy: 0.925531914893617	             14 wrong predictions
Run 182        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 183        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 184        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 185        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 186        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 187        Accuracy: 0.898936170212766	             19 wrong predictions
Run 188        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 189        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 190        Accuracy: 0.925531914893617	             14 wrong predictions
Run 191        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 192        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 193        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 194        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 195        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 196        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 197        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 198        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 199        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 200        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 201        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 202        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 203        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 204        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 205        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 206        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 207        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 208        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 209        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 210        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 211        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 212        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 213        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 214        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 215        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 216        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 217        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 218        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 219        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 220        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 221        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 222        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 223        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 224        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 225        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 226        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 227        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 228        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 229        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 230        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 231        Accuracy: 0.925531914893617	             14 wrong predictions
Run 232        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 233        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 234        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 235        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 236        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 237        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 238        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 239        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 240        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 241        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 242        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 243        Accuracy: 0.9042553191489362	             18 wrong predictions
Run 244        Accuracy: 0.925531914893617	             14 wrong predictions
Run 245        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 246        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 247        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 248        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 249        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 250        Accuracy: 0.898936170212766	             19 wrong predictions
Run 251        Accuracy: 0.9148936170212766	             16 wrong predictions
Run 252        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 253        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 254        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 255        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 256        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 257        Accuracy: 0.973404255319149	              5 wrong predictions
Run 258        Accuracy: 0.925531914893617	             14 wrong predictions
Run 259        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 260        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 261        Accuracy: 0.925531914893617	             14 wrong predictions
Run 262        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 263        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 264        Accuracy: 0.973404255319149	              5 wrong predictions
Run 265        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 266        Accuracy: 0.9042553191489362	             18 wrong predictions
Run 267        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 268        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 269        Accuracy: 0.9680851063829787	              6 wrong predictions
Run 270        Accuracy: 0.9680851063829787	              6 wrong predictions
Run 271        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 272        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 273        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 274        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 275        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 276        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 277        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 278        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 279        Accuracy: 0.973404255319149	              5 wrong predictions
Run 280        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 281        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 282        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 283        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 284        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 285        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 286        Accuracy: 0.9202127659574468	             15 wrong predictions
